HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	43.475
DEPTH_WSF    	SMTU       
m	lb
9.025	310.965
9.05	311.4587
9.075	311.9075
9.1	311.3875
9.125	311.2638
9.15	311.8987
9.175	311.9188
9.2	312.4225
9.225	312.8175
9.25	312.7938
9.275	313.285
9.3	314.0612
9.325	314.7863
9.35	315.0088
9.375	314.9962
9.4	315.1487
9.425	315.9562
9.45	315.3225
9.475	315.02
9.5	315.005
9.525	315.7338
9.55	315.54
9.575	315.955
9.6	315.6638
9.625	314.9987
9.65	314.99
9.675	314.7675
9.7	314.3287
9.725	314.905
9.75	315.6363
9.775	315.95
9.8	316.9075
9.825	317.3488
9.85	318.69
9.875	319.8775
9.9	321.2863
9.925	322.0463
9.95	322.9463
9.975	322.9138
10	323.2925
10.025	322.9213
10.05	322.9225
10.075	322.9138
10.1	322.9312
10.125	322.9413
10.15	323.3012
10.175	322.91
10.2	322.5713
10.225	322.705
10.25	321.9675
10.275	321.97
10.3	322.9287
10.325	322.0262
10.35	322.6837
10.375	321.9662
10.4	321.9513
10.425	321.6075
10.45	321.9587
10.475	321.9738
10.5	321.9688
10.525	321.9875
10.55	321.9662
10.575	321.9625
10.6	321.9675
10.625	321.9612
10.65	321.9725
10.675	321.285
10.7	320.9425
10.725	320.7062
10.75	319.95
10.775	319.0875
10.8	318.4887
10.825	317.195
10.85	316.0338
10.875	315.2987
10.9	315.0038
10.925	314.6563
10.95	314.2075
10.975	314.0725
11	314.8687
11.025	314.6237
11.05	315.5125
11.075	315.9362
11.1	315.9425
11.125	316.5688
11.15	316.8888
11.175	317.8975
11.2	318.1125
11.225	319.0787
11.25	319.085
11.275	319.7
11.3	319.28
11.325	319.3287
11.35	318.6537
11.375	319.0612
11.4	319.8612
11.425	319.97
11.45	320.7425
11.475	320.9337
11.5	320.9388
11.525	320.9537
11.55	320.92
11.575	321.8863
11.6	322.9213
11.625	323.4775
11.65	323.8312
11.675	323.8312
11.7	324.4463
11.725	325.2775
11.75	326.0425
11.775	326.6688
11.8	326.9763
11.825	326.9875
11.85	326.9788
11.875	326.0325
11.9	326.005
11.925	326.005
11.95	326.01
11.975	326.0113
12	325.8813
12.025	325.0325
12.05	325.0212
12.075	325.015
12.1	325.0113
12.125	325.0063
12.15	325.0325
12.175	325.0325
12.2	325.0187
12.225	324.0975
12.25	323.8213
12.275	323.8362
12.3	323.8337
12.325	323.4925
12.35	323.84
12.375	324.2175
12.4	325.1812
12.425	325.7313
12.45	325.0287
12.475	324.5938
12.5	324.5938
12.525	323.8312
12.55	323.8575
12.575	323.8525
12.6	323.8538
12.625	324.3325
12.65	323.81
12.675	323.8275
12.7	323.8175
12.725	323.8175
12.75	323.8312
12.775	323.845
12.8	323.8387
12.825	324.22
12.85	325.035
12.875	325.0063
12.9	325.155
12.925	326.0262
12.95	325.1625
12.975	325.0525
13	324.9612
13.025	323.8263
13.05	323.8575
13.075	323.6063
13.1	322.9075
13.125	321.82
13.15	320.9125
13.175	319.9813
13.2	319.5938
13.225	319.06
13.25	319.065
13.275	318.315
13.3	317.88
13.325	317.8962
13.35	317.8875
13.375	318.1475
13.4	318.1412
13.425	318.1412
13.45	319.0725
13.475	318.4375
13.5	317.9225
13.525	318.3488
13.55	317.9012
13.575	318.3775
13.6	317.8987
13.625	317.9875
13.65	319.0612
13.675	319.085
13.7	319.0875
13.725	319.0862
13.75	319.085
13.775	319.0938
13.8	319.0938
13.825	320.0162
13.85	320.5688
13.875	321.1225
13.9	321.9875
13.925	321.9725
13.95	322.2538
13.975	323.375
14	323.8375
14.025	324.5512
14.05	326.0237
14.075	325.6137
14.1	325.6375
14.125	325.9862
14.15	325.0425
14.175	325.8525
14.2	326.0425
14.225	326.0837
14.25	326.9713
14.275	327.7863
14.3	328.51
14.325	330.4262
14.35	331.2538
14.375	332.3788
14.4	333.5988
14.425	334.9937
14.45	336.3662
14.475	337.63
14.5	337.63
14.525	338.9813
14.55	339.7225
14.575	340.195
14.6	340.465
14.625	341.1162
14.65	342.2925
14.675	343.0325
14.7	343.995
14.725	344.0075
14.75	344.0138
14.775	343.9775
14.8	345.0625
14.825	346.47
14.85	347.32
14.875	348.4962
14.9	348.4962
14.925	349.4
14.95	350.2375
14.975	350.3025
15	351.17
15.025	351.1725
15.05	351.1787
15.075	351.17
15.1	350.96
15.125	350.27
15.15	349.5187
15.175	348.9763
15.2	348.065
15.225	348.8163
15.25	349.0612
15.275	349.0738
15.3	349.0562
15.325	349.0512
15.35	349.0663
15.375	349.06
15.4	349.0688
15.425	349.0675
15.45	348.7238
15.475	348.635
15.5	349.0487
15.525	349.0525
15.55	349.0638
15.575	349.0525
15.6	350.2225
15.625	350.2213
15.65	351.7675
15.675	353.0125
15.7	354.0625
15.725	354.5313
15.75	355.1913
15.775	355.2013
15.8	356.1
15.825	356.1
15.85	357.2362
15.875	358.055
15.9	358.075
15.925	358.0825
15.95	358.5713
15.975	359.375
16	360.6925
16.025	361.5088
16.05	362.7238
16.075	364.3175
16.1	365.7075
16.125	366.2787
16.15	366.8112
16.175	366.8763
16.2	366.2712
16.225	366.2712
16.25	367.7863
16.275	369.02
16.3	369.7075
16.325	369.7075
16.35	370.2963
16.375	371.3312
16.4	372.1938
16.425	372.2613
16.45	373.1525
16.475	373.18
16.5	372.2538
16.525	372.2437
16.55	372.225
16.575	372.6963
16.6	373.7575
16.625	374.2175
16.65	375.08
16.675	376.4287
16.7	377.2338
16.725	377.7625
16.75	378.9562
16.775	378.9562
16.8	380.1288
16.825	380.1375
16.85	380.5963
16.875	381.2938
16.9	381.2888
16.925	381.8112
16.95	382.6688
16.975	383.25
17	383.25
17.025	383.2687
17.05	383.2588
17.075	383.2575
17.1	382.4925
17.125	381.2725
17.15	380.3062
17.175	379.02
17.2	378.2112
17.225	378.205
17.25	377.4763
17.275	376.67
17.3	376.4063
17.325	376.9025
17.35	377.2613
17.375	377.265
17.4	377.275
17.425	377.275
17.45	377.275
17.475	377.0413
17.5	376.3375
17.525	376.335
17.55	376.345
17.575	376.3337
17.6	376.3488
17.625	375.0837
17.65	375.085
17.675	375.0713
17.7	375.09
17.725	374.15
17.75	373.3275
17.775	372.8788
17.8	372.2538
17.825	371.5438
17.85	370.6063
17.875	369.7513
17.9	369.2213
17.925	367.45
17.95	366.6512
17.975	365.8387
18	365.0738
18.025	364.69
18.05	363.9287
18.075	363.9287
18.1	362.1963
18.125	361.745
