HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
18.975	2.4807	2.4291	2.4215
19	2.4944	2.4392	2.4322
19.025	2.5079	2.4499	2.441
19.05	2.5218	2.4607	2.4506
19.075	2.5352	2.471	2.4586
19.1	2.5477	2.4783	2.4631
19.125	2.559	2.4862	2.4679
19.15	2.571	2.4955	2.4752
19.175	2.581	2.5025	2.4787
19.2	2.5901	2.5078	2.4824
19.225	2.597	2.5122	2.484
19.25	2.6024	2.5167	2.4892
19.275	2.6095	2.5224	2.4958
19.3	2.6145	2.5277	2.5024
19.325	2.6218	2.5336	2.5078
19.35	2.6295	2.5415	2.5135
19.375	2.6373	2.5496	2.5183
19.4	2.6447	2.5578	2.525
19.425	2.6536	2.5661	2.5317
19.45	2.6587	2.5727	2.5378
19.475	2.6649	2.5793	2.5427
19.5	2.6689	2.5819	2.5442
19.525	2.6749	2.5872	2.5458
19.55	2.6814	2.5944	2.5514
19.575	2.6897	2.6055	2.5617
19.6	2.695	2.6142	2.5709
19.625	2.6997	2.6211	2.5773
19.65	2.7013	2.6247	2.5816
19.675	2.7024	2.6275	2.5861
19.7	2.7052	2.6322	2.5931
19.725	2.7144	2.642	2.6031
19.75	2.7259	2.6555	2.6164
19.775	2.7344	2.6668	2.6267
19.8	2.7417	2.6759	2.6347
19.825	2.7482	2.6835	2.6384
19.85	2.75	2.6893	2.6429
19.875	2.7499	2.6936	2.6464
19.9	2.7498	2.697	2.6507
19.925	2.7514	2.7001	2.6526
19.95	2.7502	2.7014	2.6548
19.975	2.7461	2.7	2.6561
20	2.7445	2.7006	2.6591
20.025	2.7438	2.7023	2.6598
20.05	2.7372	2.6993	2.6583
20.075	2.7316	2.6958	2.6556
20.1	2.7277	2.6932	2.6522
20.125	2.7194	2.6869	2.6458
20.15	2.7092	2.6795	2.6389
20.175	2.7012	2.6732	2.6314
20.2	2.6931	2.6654	2.6222
20.225	2.6859	2.656	2.6116
20.25	2.6787	2.6485	2.6019
20.275	2.6711	2.641	2.5945
20.3	2.668	2.6378	2.5914
20.325	2.6644	2.6351	2.5874
20.35	2.6631	2.6333	2.5835
20.375	2.6585	2.6276	2.5774
20.4	2.6557	2.6242	2.5725
20.425	2.6507	2.6174	2.5663
20.45	2.6458	2.6135	2.565
20.475	2.6407	2.6128	2.5661
20.5	2.6382	2.6122	2.5659
20.525	2.6373	2.61	2.5652
20.55	2.6359	2.6095	2.5652
20.575	2.638	2.609	2.5655
20.6	2.6377	2.6053	2.5637
20.625	2.639	2.6068	2.5646
20.65	2.6394	2.606	2.5612
20.675	2.6401	2.6045	2.561
20.7	2.6387	2.6012	2.5569
20.725	2.6396	2.6006	2.5566
20.75	2.6442	2.6035	2.5609
20.775	2.6498	2.6097	2.5689
