HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
32.975	6.7687	6.0116	5.4377
33	6.8222	6.0488	5.4559
33.025	6.8653	6.0968	5.4926
33.05	6.8946	6.1256	5.4854
33.075	6.9076	6.1506	5.4858
33.1	6.944	6.2039	5.5004
33.125	6.9917	6.2816	5.5438
33.15	7.0566	6.361	5.5685
33.175	7.0946	6.4303	5.6071
33.2	7.1421	6.5071	5.6398
33.225	7.1571	6.5516	5.6608
33.25	7.1804	6.6034	5.6769
33.275	7.1903	6.6585	5.7041
33.3	7.2147	6.7257	5.7234
33.325	7.1854	6.7512	5.7368
33.35	7.1691	6.7779	5.7447
33.375	7.1269	6.7891	5.7642
33.4	7.0444	6.7793	5.7706
33.425	6.925	6.7282	5.7685
33.45	6.847	6.6958	5.7518
33.475	6.7531	6.6581	5.744
33.5	6.664	6.5992	5.7126
33.525	6.5658	6.5175	5.6723
33.55	6.4801	6.4461	5.6117
33.575	6.3761	6.3586	5.5493
33.6	6.2796	6.2607	5.4616
33.625	6.1605	6.1359	5.3655
33.65	6.0475	6.009	5.251
33.675	5.932	5.8778	5.1494
33.7	5.8437	5.7799	5.0674
33.725	5.7465	5.6732	4.9934
33.75	5.6451	5.5702	4.9046
33.775	5.5662	5.4886	4.8438
33.8	5.5012	5.4168	4.795
33.825	5.4374	5.3428	4.7607
33.85	5.3762	5.281	4.714
33.875	5.3212	5.2247	4.6746
33.9	5.2699	5.1677	4.6304
33.925	5.2307	5.121	4.5903
33.95	5.2083	5.0812	4.5379
33.975	5.1958	5.0455	4.5014
34	5.2012	5.034	4.4762
34.025	5.1934	5.0146	4.4532
34.05	5.1933	5.0062	4.4304
34.075	5.173	4.986	4.4037
34.1	5.1572	4.9763	4.3912
34.125	5.1437	4.9605	4.3863
34.15	5.1533	4.9734	4.3909
34.175	5.1844	5.0039	4.4187
34.2	5.2215	5.0472	4.463
34.225	5.2675	5.0997	4.514
34.25	5.3492	5.1827	4.578
34.275	5.4382	5.2713	4.6581
34.3	5.5224	5.374	4.7418
34.325	5.6316	5.4879	4.8385
34.35	5.7649	5.6144	4.9213
34.375	5.8967	5.7396	5.007
34.4	6.0548	5.8769	5.1016
34.425	6.2266	6.0179	5.2036
34.45	6.4022	6.1671	5.296
34.475	6.5502	6.281	5.3702
34.5	6.6601	6.3738	5.445
34.525	6.7558	6.4468	5.4935
34.55	6.8507	6.4995	5.5279
34.575	6.9165	6.5334	5.5479
34.6	6.9786	6.5835	5.5877
34.625	7.0882	6.669	5.6517
34.65	7.187	6.7515	5.711
34.675	7.2476	6.7824	5.7283
34.7	7.332	6.8271	5.7546
34.725	7.4267	6.871	5.7876
34.75	7.5094	6.8907	5.7872
34.775	7.5897	6.9169	5.8047
34.8	7.6657	6.9635	5.84
34.825	7.7082	6.9588	5.8363
34.85	7.749	6.9423	5.8279
34.875	7.7557	6.9012	5.7973
34.9	7.7512	6.8582	5.7805
34.925	7.7357	6.8137	5.7612
34.95	7.7432	6.7986	5.7601
34.975	7.7413	6.7831	5.7471
35	7.7324	6.7559	5.7281
35.025	7.7227	6.7151	5.6952
35.05	7.7415	6.7024	5.6866
35.075	7.7395	6.6908	5.6912
35.1	7.7197	6.6673	5.6817
35.125	7.696	6.6419	5.6828
35.15	7.6807	6.6196	5.6759
35.175	7.6543	6.5944	5.6683
35.2	7.6515	6.5875	5.6909
35.225	7.6848	6.6026	5.7339
35.25	7.7039	6.6207	5.7664
35.275	7.7255	6.6296	5.7865
35.3	7.7782	6.6527	5.8208
35.325	7.7975	6.6517	5.8342
35.35	7.8218	6.6625	5.8599
35.375	7.8454	6.675	5.8932
35.4	7.8572	6.6935	5.9228
35.425	7.8247	6.6759	5.9265
35.45	7.8273	6.6743	5.922
35.475	7.8018	6.6658	5.9153
35.5	7.8367	6.7046	5.9475
35.525	7.8592	6.7298	5.9818
35.55	7.9017	6.7672	6.0074
35.575	7.9619	6.8067	6.0398
35.6	8.0325	6.8532	6.0905
35.625	8.0696	6.8679	6.1127
35.65	8.1566	6.9209	6.1568
35.675	8.2759	6.9929	6.2282
35.7	8.3508	7.0578	6.2851
35.725	8.4586	7.13	6.333
35.75	8.5761	7.1967	6.3626
35.775	8.7395	7.2971	6.4187
35.8	8.8641	7.3871	6.4631
35.825	9.0318	7.498	6.5335
35.85	9.2278	7.614	6.5836
35.875	9.4088	7.7372	6.6427
35.9	9.5013	7.796	6.6529
35.925	9.6206	7.861	6.6803
35.95	9.8056	7.9838	6.739
35.975	9.9135	8.0886	6.8127
36	10.0368	8.2129	6.9142
36.025	10.1851	8.3656	7.0417
36.05	10.2868	8.5191	7.1658
36.075	10.3021	8.6052	7.2523
36.1	10.4105	8.7477	7.3792
36.125	10.5306	8.9139	7.5386
36.15	10.658	9.0937	7.6836
36.175	10.7875	9.2462	7.78
36.2	10.9389	9.4103	7.8687
36.225	11.0846	9.5594	7.94
36.25	11.2593	9.6862	7.9661
36.275	11.4193	9.8372	8.0278
36.3	11.5404	9.9291	8.0534
36.325	11.6241	9.9697	8.0592
36.35	11.5957	9.99	8.0834
36.375	11.4767	9.9857	8.1113
36.4	11.3499	9.9429	8.1286
36.425	11.1875	9.9201	8.1851
36.45	11.0072	9.9243	8.2615
36.475	10.8973	9.9428	8.3399
36.5	10.8573	9.986	8.3878
36.525	10.8075	10.0031	8.4162
36.55	10.9129	10.1002	8.4513
36.575	11.0298	10.163	8.4586
36.6	11.0758	10.1323	8.3801
36.625	11.0016	9.9655	8.223
36.65	10.8565	9.7656	8.0451
36.675	10.645	9.5611	7.885
36.7	10.4077	9.3339	7.7224
36.725	10.1864	9.1535	7.5794
36.75	9.9615	9.0016	7.5015
36.775	9.744	8.8565	7.4301
36.8	9.5638	8.723	7.3624
36.825	9.3876	8.6177	7.3182
36.85	9.1763	8.4862	7.2507
36.875	9.0329	8.4004	7.1937
36.9	8.9836	8.3644	7.1591
36.925	8.9484	8.3416	7.1319
36.95	9.011	8.373	7.1044
36.975	9.1234	8.4192	7.1046
37	9.241	8.4736	7.1218
37.025	9.4133	8.5923	7.1827
37.05	9.5633	8.6891	7.2572
37.075	9.6574	8.7881	7.3726
37.1	9.7686	8.9189	7.5186
37.125	9.9391	9.1127	7.6881
37.15	10.0441	9.2672	7.8701
37.175	10.1419	9.4448	8.0585
37.2	10.2761	9.6081	8.2139
37.225	10.5029	9.8483	8.4332
37.25	10.7318	10.1104	8.6374
37.275	10.9897	10.3785	8.8135
37.3	11.3577	10.6888	9.0053
37.325	11.7924	11.0537	9.2023
37.35	12.2734	11.4482	9.3615
37.375	12.7805	11.8592	9.5773
37.4	13.2591	12.248	9.7775
37.425	13.7301	12.6411	9.9645
37.45	14.1683	13.0194	10.2387
37.475	14.3844	13.2886	10.4901
37.5	14.5707	13.4947	10.7073
37.525	14.9635	13.8074	10.9443
37.55	15.1757	13.9975	11.1288
37.575	15.2756	14.1899	11.2904
37.6	15.4909	14.2973	11.3748
37.625	15.8258	14.45	11.4582
37.65	15.9838	14.5226	11.4597
37.675	16.1712	14.5695	11.4098
37.7	16.3919	14.5255	11.2769
37.725	16.6219	14.5133	11.1
37.75	16.6735	14.4098	10.907
37.775	16.7115	14.329	10.795
37.8	16.6683	14.2148	10.7112
37.825	16.6271	14.0567	10.5684
37.85	16.5088	13.8667	10.4827
37.875	16.4661	13.7581	10.4515
37.9	16.3101	13.5326	10.3922
37.925	16.3208	13.4032	10.3203
37.95	16.1944	13.2551	10.2541
37.975	16.0256	13.0563	10.172
38	15.8092	12.7966	10.0629
38.025	15.7133	12.6516	9.9704
38.05	15.4626	12.4909	9.8956
38.075	15.322	12.3714	9.8303
38.1	15.1812	12.3251	9.8388
38.125	15.1699	12.3634	9.8579
38.15	14.9885	12.332	9.8248
38.175	14.9702	12.3607	9.8561
38.2	14.8658	12.367	9.9498
38.225	14.9194	12.4712	10.0243
38.25	14.8509	12.5409	10.0779
38.275	14.8783	12.6213	10.176
38.3	14.7548	12.6518	10.2723
38.325	14.8097	12.7801	10.3515
38.35	14.8248	12.9179	10.5031
38.375	14.8644	13.042	10.6384
38.4	14.8567	13.1441	10.7648
38.425	15.047	13.4011	10.9599
38.45	15.2442	13.7039	11.2017
38.475	15.3882	13.9666	11.4027
38.5	15.36	14.1112	11.5861
38.525	15.5416	14.3778	11.7861
38.55	15.6636	14.5898	11.9228
38.575	15.6897	14.7233	12.0473
38.6	15.6535	14.7958	12.1414
38.625	15.9445	15.0707	12.2939
38.65	16.1371	15.2898	12.4635
38.675	16.199	15.3568	12.567
38.7	16.2541	15.3952	12.5775
38.725	16.4252	15.4771	12.5732
38.75	16.4062	15.4426	12.547
38.775	16.3246	15.4109	12.5249
38.8	16.3745	15.456	12.5519
38.825	16.3317	15.4216	12.5318
38.85	16.2578	15.3287	12.4519
38.875	16.1304	15.1886	12.3462
38.9	16.129	15.1147	12.279
38.925	16.1306	15.0349	12.1711
38.95	16.1258	14.9902	12.0817
38.975	16.059	14.8724	11.9862
39	16.1853	14.8995	11.98
39.025	16.1557	14.8327	11.9034
39.05	16.054	14.6905	11.8038
39.075	15.9735	14.5642	11.7351
39.1	16.0514	14.566	11.7151
39.125	15.837	14.382	11.5959
39.15	15.7032	14.2188	11.4704
39.175	15.5568	14.0637	11.3677
39.2	15.5979	14.0399	11.4101
39.225	15.5135	13.9967	11.413
39.25	15.5341	14.0458	11.4322
39.275	15.5534	14.1012	11.4872
39.3	15.7066	14.1997	11.5453
39.325	15.8263	14.2897	11.5599
39.35	15.9793	14.3919	11.6402
39.375	16.0511	14.4222	11.6868
39.4	16.1054	14.3913	11.6825
39.425	16.0921	14.3876	11.6929
39.45	16.0449	14.3919	11.7036
39.475	15.9288	14.306	11.6672
39.5	15.9127	14.2107	11.5698
39.525	15.9404	14.3011	11.6054
39.55	15.9743	14.3597	11.6239
39.575	15.9597	14.3226	11.5875
39.6	15.8678	14.2334	11.516
39.625	15.7885	14.1772	11.4957
39.65	15.7325	14.0972	11.4435
39.675	15.5459	13.9595	11.3747
39.7	15.3343	13.7807	11.2479
39.725	15.255	13.7185	11.1587
39.75	15.2039	13.7276	11.1326
39.775	15.0163	13.5954	11.0587
39.8	15.0892	13.6069	11.0407
39.825	15.1336	13.6976	11.0642
39.85	15.0064	13.6696	11.0672
39.875	14.9727	13.6273	11.0747
39.9	15.1367	13.6943	11.0784
39.925	15.0771	13.6766	11.0724
39.95	15.0249	13.5823	11.014
39.975	15.2667	13.6595	11.0575
40	15.3966	13.7691	11.1408
40.025	15.4346	13.8577	11.2234
40.05	15.4787	13.8267	11.1911
40.075	15.5271	13.8363	11.2453
40.1	15.4507	13.7957	11.2186
40.125	15.431	13.7421	11.1452
40.15	15.4187	13.7119	11.1311
40.175	15.3563	13.7102	11.1851
40.2	15.4159	13.7013	11.1251
40.225	15.5179	13.8017	11.1634
40.25	15.4502	13.7323	11.1224
40.275	15.3355	13.5692	11.0057
40.3	15.4444	13.6406	10.963
40.325	15.327	13.6108	10.9248
40.35	15.0917	13.3767	10.7702
40.375	14.9906	13.3028	10.6898
40.4	14.8785	13.2608	10.6434
40.425	14.7381	13.2011	10.627
40.45	14.6575	13.1584	10.6037
40.475	14.5671	13.1446	10.6484
40.5	14.515	13.1275	10.6298
40.525	14.5216	13.1652	10.6257
40.55	14.4366	13.0826	10.6016
40.575	14.3543	13.0521	10.617
40.6	14.4629	13.1451	10.5752
40.625	14.4781	13.1998	10.6182
40.65	14.3305	13.0768	10.5669
40.675	14.2256	12.9816	10.4623
40.7	14.295	13.0012	10.4317
40.725	14.1595	12.8951	10.4279
40.75	14.0928	12.8373	10.4185
40.775	14.0709	12.8322	10.423
40.8	14.1395	12.8833	10.4585
40.825	14.1166	12.8614	10.4641
40.85	14.172	12.8936	10.4626
40.875	14.2099	12.9014	10.4431
40.9	14.32	12.9667	10.4658
