HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	38.65
DEPTH_WSF	GRGC       
m	gAPI
8.85	20.6539
8.875	19.7674
8.9	19.1982
8.925	19.7298
8.95	21.2371
8.975	23.254
9	24.8702
9.025	26.6302
9.05	28.208
9.075	27.8005
9.1	26.3329
9.125	24.5907
9.15	23.5851
9.175	22.7624
9.2	22.9483
9.225	23.4994
9.25	24.3305
9.275	24.7925
9.3	24.8873
9.325	24.1513
9.35	22.8668
9.375	21.6025
9.4	20.1551
9.425	18.8903
9.45	18.7068
9.475	19.9906
9.5	22.0753
9.525	24.7098
9.55	26.468
9.575	27.3669
9.6	26.7976
9.625	25.0428
9.65	22.2871
9.675	19.9986
9.7	19.3615
9.725	19.1892
9.75	18.8189
9.775	18.2677
9.8	19.2725
9.825	20.1115
9.85	21.1534
9.875	20.8263
9.9	20.2137
9.925	17.9717
9.95	15.7701
9.975	13.9423
10	14.6839
10.025	17.4444
10.05	22.402
10.075	26.0747
10.1	29.2574
10.125	30.4192
10.15	31.2138
10.175	30.9156
10.2	30.9844
10.225	31.0524
10.25	30.8679
10.275	30.2136
10.3	29.0395
10.325	28.1144
10.35	26.6744
10.375	26.1222
10.4	25.5323
10.425	25.2754
10.45	24.586
10.475	24.8536
10.5	25.4052
10.525	27.0149
10.55	28.007
10.575	29.3
10.6	29.3139
10.625	28.7774
10.65	26.8393
10.675	25.5546
10.7	24.7772
10.725	24.4701
10.75	24.8977
10.775	24.6347
10.8	24.452
10.825	22.91
10.85	21.9171
10.875	20.5572
10.9	19.8216
10.925	18.9035
10.95	19.0866
10.975	19.6377
11	20.8487
11.025	23.7118
11.05	26.7579
11.075	29.3282
11.1	30.6137
11.125	31.6082
11.15	32.602
11.175	34.5136
11.2	35.7985
11.225	37.0834
11.25	36.6328
11.275	34.5297
11.3	30.0405
11.325	25.6347
11.35	21.78
11.375	19.8427
11.4	19.3742
11.425	21.8426
11.45	25.5142
11.475	28.7357
11.5	30.673
11.525	30.5467
11.55	28.8508
11.575	26.0529
11.6	24.5852
11.625	23.1167
11.65	22.2436
11.675	20.6354
11.7	20.9505
11.725	22.4041
11.75	26.2439
11.775	29.5621
11.8	32.1805
11.825	32.7953
11.85	31.7432
11.875	29.1712
11.9	26.7752
11.925	25.8141
11.95	25.7196
11.975	25.6996
12	26.0014
12.025	27.5374
12.05	29.2688
12.075	30.5757
12.1	31.0013
12.125	31.4291
12.15	31.8052
12.175	31.5369
12.2	30.1734
12.225	28.1633
12.25	26.2469
12.275	25.1456
12.3	24.5273
12.325	25.0111
12.35	25.8613
12.375	26.6974
12.4	26.7993
12.425	26.9687
12.45	26.6685
12.475	26.9188
12.5	26.8168
12.525	27.1689
12.55	26.787
12.575	26.8733
12.6	27.2416
12.625	26.8754
12.65	26.1426
12.675	24.8574
12.7	24.6739
12.725	24.0405
12.75	24.8759
12.775	25.4407
12.8	27.1888
12.825	29.6728
12.85	32.6043
12.875	34.8023
12.9	35.2497
12.925	37.173
12.95	37.9936
12.975	39.3686
13	39.0098
13.025	39.2997
13.05	36.7455
13.075	34.0888
13.1	31.1496
13.125	31.1093
13.15	31.6198
13.175	33.6795
13.2	34.3088
13.225	33.425
13.25	31.2966
13.275	28.8012
13.3	26.2717
13.325	23.9311
13.35	22.6838
13.375	22.1676
13.4	21.8944
13.425	21.4455
13.45	21.6885
13.475	22.5347
13.5	23.5562
13.525	25.735
13.55	27.3106
13.575	28.6441
13.6	28.0276
13.625	26.179
13.65	23.732
13.675	22.2017
13.7	21.5508
13.725	22.3928
13.75	23.8225
13.775	26.1539
13.8	28.9425
13.825	32.538
13.85	36.96
13.875	42.6705
13.9	48.804
13.925	55.7647
13.95	62.7939
13.975	68.7366
14	72.473
14.025	73.5865
14.05	75.1602
14.075	76.241
14.1	77.8553
14.125	80.4812
14.15	84.2909
14.175	86.31
14.2	87.9592
14.225	89.4173
14.25	92.1135
14.275	92.2896
14.3	91.7912
14.325	89.2352
14.35	88.7057
14.375	88.3543
14.4	92.9975
14.425	97.8142
14.45	105.0555
14.475	107.3407
14.5	107.9298
14.525	104.2587
14.55	102.1353
14.575	101.7042
14.6	105.5409
14.625	110.2161
14.65	115.4046
14.675	117.1587
14.7	113.1854
14.725	106.2886
14.75	99.0302
14.775	94.1922
14.8	92.6546
14.825	96.5189
14.85	102.5239
14.875	107.001
14.9	109.2237
14.925	111.6845
14.95	111.806
14.975	111.6146
15	112.113
15.025	113.281
15.05	112.1273
15.075	109.6744
15.1	107.2862
15.125	105.6142
15.15	107.4086
15.175	110.2371
15.2	112.3534
15.225	111.5144
15.25	108.7781
15.275	104.5255
15.3	101.116
15.325	99.6071
15.35	98.1838
15.375	98.3024
15.4	98.1176
15.425	99.2951
15.45	99.6279
15.475	101.0595
15.5	103.96
15.525	105.4291
15.55	104.6187
15.575	103.1698
15.6	103.2589
15.625	102.3259
15.65	102.3955
15.675	102.1077
15.7	103.5614
15.725	104.6285
15.75	106.1701
15.775	106.2652
15.8	104.9089
15.825	103.5044
15.85	103.0421
15.875	102.3094
15.9	101.1401
15.925	101.5641
15.95	100.5646
15.975	100.949
16	99.507
16.025	99.0301
16.05	94.9644
16.075	93.9978
16.1	94.5078
16.125	99.5398
16.15	104.8768
16.175	114.7896
16.2	120.5299
16.225	121.2154
16.25	117.1485
16.275	114.1276
16.3	110.0663
16.325	107.8917
16.35	105.2729
16.375	103.5889
16.4	100.0629
16.425	98.1652
16.45	99.9564
16.475	104.2515
16.5	107.5524
16.525	108.1696
16.55	105.8581
16.575	103.0274
16.6	99.0289
16.625	97.5921
16.65	98.964
16.675	103.8153
16.7	105.8848
16.725	107.314
16.75	107.7123
16.775	109.5813
16.8	108.6996
16.825	109.0342
16.85	110.1318
16.875	112.1546
16.9	112.5653
16.925	112.3475
16.95	111.7583
16.975	110.1313
17	107.8541
17.025	104.4322
17.05	103.958
17.075	103.4297
17.1	106.8856
17.125	107.9501
17.15	108.3291
17.175	106.0162
17.2	104.3857
17.225	101.7308
17.25	100.5766
17.275	100.4696
17.3	102.4882
17.325	103.6464
17.35	106.0061
17.375	108.5522
17.4	112.5574
17.425	112.4242
17.45	110.7548
17.475	106.1595
17.5	102.849
17.525	100.2871
17.55	97.8505
17.575	96.7012
17.6	96.8322
17.625	100.818
17.65	105.1712
17.675	111.0479
17.7	114.3601
17.725	113.4476
17.75	108.1268
17.775	101.1514
17.8	97.3015
17.825	95.1063
17.85	98.2283
17.875	100.0632
17.9	100.7944
17.925	97.0568
17.95	95.1468
17.975	92.692
18	92.8739
18.025	94.7183
18.05	99.7414
18.075	105.6555
18.1	111.0104
18.125	115.3826
18.15	117.9734
18.175	120.0135
18.2	120.0645
18.225	116.4245
18.25	110.1615
18.275	104.8775
18.3	102.0229
18.325	102.3451
18.35	105.6954
18.375	110.2333
18.4	112.0806
18.425	110.8467
18.45	107.4601
18.475	105.3013
18.5	102.1125
18.525	101.3041
18.55	101.1416
18.575	102.1545
18.6	103.5315
18.625	105.7253
18.65	107.3125
18.675	107.9846
18.7	108.1061
18.725	110.126
18.75	113.4548
18.775	117.7033
18.8	121.2169
18.825	123.0796
18.85	120.2555
18.875	116.3684
18.9	112.7025
18.925	112.0695
18.95	111.9296
18.975	112.1862
19	112.8025
19.025	114.9033
19.05	115.5703
19.075	117.1594
19.1	117.6502
19.125	118.1458
19.15	116.6254
19.175	114.6085
19.2	112.6243
19.225	110.556
19.25	110.0826
19.275	110.1614
19.3	110.9771
19.325	108.1919
19.35	105.6951
19.375	103.6436
19.4	103.1945
19.425	103.8467
19.45	106.6538
19.475	110.0904
19.5	111.0571
19.525	109.6886
19.55	107.6699
19.575	107.2993
19.6	105.9115
19.625	107.2798
19.65	106.4488
19.675	107.1859
19.7	106.2716
19.725	108.8418
19.75	108.7435
19.775	109.6509
19.8	108.4209
19.825	107.2872
19.85	105.8847
19.875	104.3376
19.9	104.7209
19.925	101.5475
19.95	98.7391
19.975	93.9353
20	91.0274
20.025	86.9189
20.05	88.7524
20.075	91.04
20.1	94.6746
20.125	96.2924
20.15	98.9272
20.175	98.34
20.2	95.7333
20.225	91.4751
20.25	88.5382
20.275	85.1963
20.3	84.4632
20.325	84.8344
20.35	86.1585
20.375	86.5255
20.4	87.4391
20.425	86.1769
20.45	84.141
20.475	83.5039
20.5	86.0051
20.525	88.377
20.55	90.1208
20.575	90.7581
20.6	91.4592
20.625	90.7983
20.65	90.0887
20.675	89.4249
20.7	89.7236
20.725	89.1809
20.75	87.3223
20.775	85.3141
20.8	83.8324
20.825	85.0077
20.85	87.2433
20.875	91.178
20.9	95.6661
20.925	101.4066
20.95	105.1304
20.975	105.4878
21	102.8566
21.025	99.4579
21.05	95.1612
21.075	89.7958
21.1	86.6661
21.125	84.215
21.15	84.7004
21.175	85.1356
21.2	91.3285
21.225	95.5836
21.25	99.4338
21.275	97.8104
21.3	94.5103
21.325	88.2691
21.35	85.9642
21.375	88.3926
21.4	95.4138
21.425	102.721
21.45	106.9494
21.475	105.9781
21.5	100.0505
21.525	92.8319
21.55	89.3378
21.575	88.8729
21.6	90.6561
21.625	93.8231
21.65	96.9628
21.675	99.2201
21.7	99.2673
21.725	99.6167
21.75	99.6529
21.775	99.8975
21.8	99.8816
21.825	100.4714
21.85	100.7639
21.875	98.1941
21.9	94.532
21.925	89.5182
21.95	84.6879
21.975	78.9308
22	76.8178
22.025	78.5616
22.05	80.9212
22.075	86.2848
22.1	90.912
22.125	97.4036
22.15	97.1196
22.175	98.1996
22.2	95.3577
22.225	94.3622
22.25	90.3508
22.275	89.0663
22.3	88.2551
22.325	90.5886
22.35	95.1244
22.375	99.5538
22.4	102.2621
22.425	102.7652
22.45	101.0387
22.475	98.256
22.5	95.9426
22.525	97.3709
22.55	98.8939
22.575	100.1365
22.6	99.3161
22.625	100.691
22.65	101.2652
22.675	102.033
22.7	99.9302
22.725	100.461
22.75	99.14
22.775	98.0995
22.8	94.754
22.825	93.6518
22.85	91.0188
22.875	89.7757
22.9	86.6625
22.925	87.2159
22.95	87.3927
22.975	89.7677
23	86.5096
23.025	83.9963
23.05	79.652
23.075	78.5567
23.1	76.5373
23.125	79.4167
23.15	81.5982
23.175	82.4973
23.2	80.5167
23.225	77.9495
23.25	73.2281
23.275	69.5657
23.3	68.6541
23.325	71.9133
23.35	75.1308
23.375	80.5072
23.4	85.154
23.425	88.6023
23.45	87.8487
23.475	88.4619
23.5	86.8651
23.525	87.3093
23.55	87.8507
23.575	92.4986
23.6	95.8636
23.625	100.3325
23.65	103.0859
23.675	103.8367
23.7	101.6834
23.725	98.7958
23.75	99.1956
23.775	101.2147
23.8	105.4169
23.825	108.8151
23.85	112.3968
23.875	113.0612
23.9	112.5105
23.925	109.9437
23.95	109.3989
23.975	108.1223
24	106.8429
24.025	105.3769
24.05	106.1085
24.075	105.7358
24.1	104.6264
24.125	104.8014
24.15	108.4669
24.175	113.2388
24.2	117.8303
24.225	121.8712
24.25	123.5263
24.275	122.6295
24.3	120.2319
24.325	118.9359
24.35	117.6195
24.375	116.7024
24.4	115.2314
24.425	114.8966
24.45	112.1722
24.475	109.8873
24.5	108.6474
24.525	109.9807
24.55	110.5072
24.575	114.3092
24.6	117.7709
24.625	122.5416
24.65	123.1255
24.675	125.3413
24.7	124.8291
24.725	124.7208
24.75	119.9624
24.775	116.6231
24.8	111.7378
24.825	108.9264
24.85	107.4678
24.875	109.9871
24.9	112.7941
24.925	112.1033
24.95	108.9615
